Module	Section	Sample Name	Source
Kallisto	all_sections	SRR8668757	/Users/romie/Desktop/course_dataset/test57.log
Kallisto	all_sections	SRR8668755_1M_subsample	/Users/romie/Desktop/course_dataset/test.log
Kallisto	all_sections	SRR8668756	/Users/romie/Desktop/course_dataset/test56.log
Kallisto	all_sections	SRR8668755	/Users/romie/Desktop/course_dataset/test55.log
Kallisto	all_sections	SRR8668769	/Users/romie/Desktop/course_dataset/test69.log
Kallisto	all_sections	SRR8668774	/Users/romie/Desktop/course_dataset/test74.log
Kallisto	all_sections	SRR8668758	/Users/romie/Desktop/course_dataset/test58.log
Kallisto	all_sections	SRR8668759	/Users/romie/Desktop/course_dataset/test59.log
Kallisto	all_sections	SRR8668771	/Users/romie/Desktop/course_dataset/test71.log
Kallisto	all_sections	SRR8668773	/Users/romie/Desktop/course_dataset/test73.log
Kallisto	all_sections	SRR8668772	/Users/romie/Desktop/course_dataset/test72.log
FastQC	all_sections	SRR8668757	/Users/romie/Desktop/course_dataset/SRR8668757_fastqc.zip
FastQC	all_sections	SRR8668771	/Users/romie/Desktop/course_dataset/SRR8668771_fastqc.zip
FastQC	all_sections	SRR8668774	/Users/romie/Desktop/course_dataset/SRR8668774_fastqc.zip
FastQC	all_sections	SRR8668755	/Users/romie/Desktop/course_dataset/SRR8668755_fastqc.zip
FastQC	all_sections	SRR8668758	/Users/romie/Desktop/course_dataset/SRR8668758_fastqc.zip
FastQC	all_sections	SRR8668773	/Users/romie/Desktop/course_dataset/SRR8668773_fastqc.zip
FastQC	all_sections	SRR8668755_1M_subsample	/Users/romie/Desktop/course_dataset/SRR8668755_1M_subsample_fastqc.zip
FastQC	all_sections	SRR8668769	/Users/romie/Desktop/course_dataset/SRR8668769_fastqc.zip
FastQC	all_sections	SRR8668756	/Users/romie/Desktop/course_dataset/SRR8668756_fastqc.zip
FastQC	all_sections	SRR8668759	/Users/romie/Desktop/course_dataset/SRR8668759_fastqc.zip
FastQC	all_sections	SRR8668772	/Users/romie/Desktop/course_dataset/SRR8668772_fastqc.zip
